start	end	room	title	content_note	host	type
11:00	12:00	Lichtsaal	Geschichten verfassen mit Kindern und Jugendlichen		Anja Buchmann	Vortrag
11:00	12:00	Saletta	Vitus von Donnersfeldt und die Verfluchten von Enzheim		Jörg Olbrich und Michael Buttler	Lesung
11:00	12:00	C4	Ihr habt Fragen an PAN? Wir die Antworten.		Markus Heitkamp & Stefan Cernohuby	Gespräch / Fragerunde
11:00	12:00	Raum der Wünsche	Rederic - Die andere Seite der Angst		Jenny Rubus	Lesung
11:00	12:00	Basement	In der Kürze liegt die Würze		Veit Kanoder-Brunnel, Jutta Ehmke und Günther Kienle	Lesung
11:00	11:30	C1	Zwischen Krone und Einhornglitzer	Sturm / Gewitter, Tod eines Familienangehörigen, Einsamkeit, Alkohol	Jessica Springer	Lesung
11:00	12:00	C3	@axelschreibt und Friends - SciFi mit Humor		Axel Aldenhoven und Beatrice Sonntag	Lesung
11:00	12:00	Kegelbahn	Rock Planet - Die Rockmusik der 1970er (Anthologie)		Michael Schmidt, Gabriele Behrend und Veith Kanoder-Brunnel	Lesung
11:00	11:30	C2	Lesung aus "Monsterjäger", einer Gruselgeschichte für Kinder		Katharina Gerlach	Lesung
11:30	12:00	C4	Unicorn Chronicles		Isabella Benz	Lesung
11:30	12:00	C1	Othersides (Young-Adult-Fantasy-Trilogie)		Jesse Kilior	Lesung
11:30	12:00	C2	Erschütterung - Beben am Abgrund		Andre Hofmann	Lesung
12:00	13:00	Lichtsaal	Karl Mays Magischer Orient		Alexander Röder, Friedhelm Schneidewind und Jacqueline Montemurri	Lesung und Gespräch
12:00	13:00	Saletta	Fantastische Kurzgeschichten und ein märchenhafter Teaser		T.S. Orgel	Lesung
12:00	13:00	C4	Realität und Fiktion in der SF		Brandon Q. Morris & Michael Hirtzy	Vortrag / Diskussion
12:00	13:00	Raum der Wünsche	Neues aus dem Kemet Universum		Melanie Vogltanz und Jenny Wood	Lesung
12:00	12:30	Basement	Progressive Phantastik und der Buchmarkt		Jürgen Eglseer, Juri Pavlovic	Gespräch
12:00	13:00	C1	Gruselige Legenden und Horror unter der Erde		Andreas Dörr u.a.	Lesung
12:00	13:00	C3	Verborgene Fabelwesen der Meere		Florian Schäfer & Elif Siebenpfeiffer (Forgotten Creatures Zeitsprünge e.V.)	szenische Lesung
12:00	12:30	Kegelbahn	Suna Valo - EIn Solarpunk-Roman		Andi Bottlinger, Laura Dümpelfeld	Lesung
12:00	12:30	C2	Freyja, Baumweltensaga II		Barbara Fischer	Lesung
12:30	13:00	Basement	7 Sorten Schnee		Juri Pavlovic	Lesung
12:30	13:00	Kegelbahn	Brettspiele und Bücher - eine perfekte Kombination?		Andreas "ode" Odendahl, Andi Bottlinger, Sven Nieder	Diskussion, Lesung
12:30	13:00	C2	Wolfssch@nze		Sten Parker	Lesung
13:00	14:00	Lichtsaal	PROXI - kommt mit auf den Endzeittripp!		Aiki Mira	Lesung und Diskussion
13:00	13:30	Saletta	latest stories in German		Regina Kanyu Wang	Lesung auf englisch
13:00	13:30	C4	Whispers of Shadow and Silk		Rebekka Pax	Lesung
13:00	13:30	Raum der Wünsche	Rhönix Risis		Elea BRand	Lesung
13:00	14:00	Basement	10 Jahre Leseratten-Verlag		Thomas Williams, Simona Turini und Marc Hamacher	Lesung / Buchvorstellung
13:00	13:30	C1	Lesung aus der Aetherwelt		Anja Bagus	Lesung
